Dist_um,Line_01,Line_02,Line_03,Line_04,Line_05,Line_06,Line_07,Line_08,Line_09,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,Line_16,Line_17,Line_18,Line_19,Line_20,Line_21,Line_22,Line_23,Line_24,Line_25,Line_26,Line_27,Line_28,Line_29,Line_30,Mean,Std
34.8,95,103.275863647461,107,107,107,104.310348510742,99.3448257446289,91.068962097168,89,90.2413787841797,94.3793106079102,87.9655151367188,81.3448257446289,77.2068939208984,88.7931060791016,95,95,95,92.5172424316406,89,89,91.8965454101562,93.9655151367188,89.8275833129883,89,91.8965530395508,100.172416687012,97.2758636474609,93.1379318237305,89,93.8206893920898,7.10155209110269
35.4,95,99.1379318237305,101,101,101,98.3103485107422,94.1724166870117,90.0344848632812,89,89,89,96.0344848632812,101,101,97.0689697265625,92.9310302734375,88.793098449707,84.6551742553711,80.5172424316406,78.2413787841797,86.5172424316406,91.8965454101562,93.9655151367188,89.8275833129883,82.3793106079102,77,77,80.7241363525391,84.8620681762695,89,90.6689654032389,7.61969506838879
36,101,101,103.275856018066,106.172416687012,97.8965454101562,92.3103485107422,89,89,92.1034469604492,93.7586212158203,89.6206893920898,89,92.3103408813477,100.586212158203,97.0689697265625,92.9310302734375,89.2068939208984,93.3448257446289,92.5172424316406,87.7586212158203,79.4827575683594,82.793098449707,91.068962097168,99.3448257446289,97.6896514892578,95,95,91.2758636474609,90.8620681762695,95,93.5793095906576,5.78793761768966
36.6,107,107,102.448272705078,95,95,92.3103485107422,89,89,89,90.2413787841797,94.3793106079102,95,91.6896514892578,83.4137954711914,83,87.1379318237305,95.2068939208984,99.3448333740234,98.5172424316406,95,95,97.8965454101562,101,101,101,98.1034469604492,89.8275833129883,85.2758636474609,88.5862045288086,101,94.5793100992839,6.38749913515164
37.2,101,96.8620681762695,95,95.4137954711914,99.5517272949219,101,101,101,97.8965454101562,96.2413787841797,100.37931060791,104.517242431641,107,107,103.068969726562,98.931037902832,95,95,97.4827575683594,99.7586212158203,91.4827575683594,86.1034469604492,84.0344772338867,88.1724166870117,89,90.4482727050781,94.5862121582031,91.2758636474609,90.8620681762695,95,96.4689656575521,5.80337614245237
37.8,101,105.13793182373,107,106.586204528809,102.448272705078,101,101.827583312988,105.965515136719,103.896553039551,97.2758636474609,84.8620681762695,83,86.3103408813477,94.5862045288086,98.931037902832,98.931037902832,94.793098449707,90.6551742553711,89,89,89,86.1034469604492,83,83,86.3103485107422,89,89,89,90.8620681762695,95,94.0827583312988,7.84001210000549
38.4,95,111.551727294922,119,118.172416687012,109.896545410156,104.310348510742,100.172409057617,96.0344772338867,98.1034545898438,101,101,104.517242431641,110.310348510742,118.586212158203,103.275863647461,90.8620681762695,83.2068939208984,87.3448257446289,91.4827575683594,95,95,97.8965454101562,98.9310302734375,90.6551742553711,82.3793106079102,79.8965454101562,88.1724090576172,92.7241363525391,95,95,98.4827580769857,10.3389891393367
39,95,99.1379318237305,101,101,101,101,101,101,94.7931060791016,90.2413787841797,94.3793106079102,109.068969726562,115.689651489258,107.413787841797,103.068969726562,101,100.37931060791,87.9655151367188,80.5172424316406,78.2413787841797,86.5172424316406,89,86.9310302734375,78.6551742553711,77,81.3448257446289,93.7586212158203,98.7241363525391,99.1379318237305,95,94.965517171224,9.63042090677908
39.6,95,90.8620681762695,93.5517272949219,101,101,103.689651489258,106.172409057617,102.034484863281,104.103446960449,110.724136352539,123.13793182373,114.448272705078,103.689651489258,95.4137954711914,102.86206817627,104.931030273438,100.586204528809,92.3103485107422,89,89.6206893920898,93.7586212158203,95,93.9655151367188,89.8275833129883,92.3103485107422,97.8965454101562,106.172409057617,107,105.13793182373,101,100.20689570109,7.92174845634448
40.2,125,112.586212158203,107,106.172416687012,97.8965454101562,100.37931060791,107,107,103.896553039551,101,101,101,99.3448257446289,95.2068939208984,98.931037902832,101,101,101,98.5172424316406,95,95,95,95,95,95,93.5517196655273,89.4137878417969,92.7241363525391,93.1379318237305,89,99.7586204528809,7.2965126596487
40.8,101,101,101,100.586212158203,96.4482727050781,95,95.8275909423828,99.9655227661133,104.103446960449,105.75862121582,101.62068939209,101,105.965515136719,118.37931060791,111.13793182373,104.931030273438,101,101,96.0344848632812,89.6206893920898,93.7586212158203,97.8965454101562,101,101,101,98.1034469604492,89.8275833129883,85.2758636474609,83,83,98.841379292806,7.58216618591939
41.4,77,85.2758636474609,93.5517272949219,101,101,98.3103485107422,95,95,95,97.4827575683594,105.75862121582,103.482757568359,97.6896514892578,89.4137878417969,96.8620758056641,107.206901550293,119,119,109.068969726562,95,95,89.2068939208984,83,83,92.9310302734375,99.5517272949219,95.4137954711914,95,96.8620681762695,101,97.0689659118652,9.2775488257281
42,101,96.8620681762695,95,95.4137954711914,99.5517272949219,103.689651489258,106.172409057617,102.034484863281,97.8965454101562,95,95,95,95,95,95,92.9310302734375,89,89,89,88.3793106079102,84.2413787841797,83,84.0344772338867,88.1724166870117,85.6896514892578,81.5517196655273,77.4137954711914,84.4482727050781,92.7241363525391,101,92.6068957010905,7.09251092428924
42.6,95,90.8620681762695,89,88.5862045288086,84.4482727050781,85.6896514892578,89.8275833129883,93.9655151367188,95,95,95,98.5172424316406,101,101,97.0689697265625,90.8620681762695,83.6206893920898,96.0344848632812,103.482757568359,106.379318237305,102.24137878418,98.1034469604492,96.0344848632812,100.172409057617,101,102.448272705078,106.586204528809,107,103.275863647461,95,96.4068962097168,6.50358765309226
43.2,89,84.8620681762695,89.8275833129883,101,101,101,101,101,97.8965454101562,95,95,91.4827575683594,92.3103408813477,100.586212158203,101,101,101,101,101,102.862075805664,115.275863647461,110.310348510742,96.8620681762695,80.3103485107422,77,79.8965454101562,88.1724090576172,96.4482727050781,102.86206817627,107,96.7655169169108,8.75813674876326
